R,hint,施設名,0,1
66.0,66,光の子保育園　　※分園を含む　※２,3600438.3838889142,#fed77460
68.0,68,ベネッセ本山保育園,260137.66953493402,#ffeda160
69.0,69,親和保育園,1248533.2858672475,#ffefa660
70.0,70,虹保育園,1003750.54457651,#fee99760
71.0,71,岡本ハーベスト保育園,1184149.4715072047,#feec9f60
73.0,73,甲南山手保育園,286259.0721669414,#fee99960
74.0,74,おかもと虹保育園,217923.5907967304,#00000000
75.0,75,御影のどか保育園,1045186.8836101497,#fed16d60
76.0,76,住吉むつみ保育園　　※分園含む　※３,329321.5563107454,#fff8bb60
77.0,77,ＡＢＣみかげ保育園,1111530.1354654278,#fff0a860
78.0,78,ブルーノの森保育園,167526.57135356028,#00000000
79.0,79,神戸住吉保育園,167978.62124151568,#fff8bb60
93.0,93,幼保連携型　明照認定こども園,2919619.5098968293,#fee69160
94.0,94,幼保連携型　つきかげ認定こども園,1311138.6741040933,#fee69160
95.0,95,幼保連携型認定こども園　星の杜こども園,2476971.005889366,#00000000
96.0,96,幼保連携型認定こども園　キッズキャンパス,19018404.152129263,#ffefa560
97.0,97,幼保連携型認定こども園　八多保育園,6607495.598536336,#fff2ac60
98.0,98,幼保連携型認定こども園　星の子こども園,3203906.6947180666,#fed57160
99.0,99,認定こども園　六甲藤原台幼稚園,2954570.0913505848,#fff2ac60
100.0,100,からと保育所,10312098.45337634,#ffefa560
101.0,101,道場保育園,21472651.963693462,#fed57160
102.0,102,有馬保育園,12677717.585522693,#fd913d60
103.0,103,大池保育園,16758769.617689654,#ffeda160
104.0,104,ひとみ保育園,3105170.1012337366,#febc5760
105.0,105,オリンピア神戸北保育園,29113490.587756544,#fec76360
113.0,113,幼保連携型認定こども園　宝地院保育園,425642.85557262885,#fff4b360
114.0,114,幼保連携型認定こども園　大同保育園,2242136.529246754,#fedb7a60
115.0,115,幼保連携型認定こども園　モーツァルト兵庫こども園,153109.79431431735,#ffefa660
116.0,116,幼保連携型認定こども園　神港みどり幼稚園,490173.2367516167,#00000000
